1;CA;Fundación Argentina
2;CD;Fundación México
3;CL;Fundación Brasil
4;CN;Fundación Perú
5;CO;Fundación Argentina
6;CP;Fundación Ecuador
7;CQ;Fundación Colombia
8;DU;USA / Puerto Rico
9;FA;Colombia Fija
10;IA;Terra Argentina
11;IB;Terra Brasil
12;IC;Terra Chile
13;IJ;Terra Colombia
14;IP;Terra Perú
15;IU;Terra EEUU
16;IX;Terra México
17;LC;Fundación Uruguay
18;LD;Fundación Guatemala
19;LE;Fundación Panamá
20;MA;Móviles Argentina
21;MC;Móviles Chile
22;ME;Móviles El Salvador
23;MG;Móviles Guatemala
24;MP;Móviles Perú
25;MR;Móviles México
26;NA;Móviles Ecuador
27;NC;Móviles Panamá
28;NF;Móviles Uruguay
29;NH;Móviles Colombia
30;NJ;Móviles Nicaragua
31;NX;Móviles Costa Rica
32;TA;Argentina Fija
33;TC;Chile Fija
34;TGS;TGestiona
35;TGT;Telefonica Global Technology
36;TP;Perú Fija
